tag,v25,median,v75,Category,round
s1n_0,10,10,10,s1,0
s1n_1,0,0,0,s1,1
s1n_2,0,0,0,s1,2
s1n_3,5,5.999999999999999,9,s1,3
s1n_4,2.9999999999999996,4,5.999999999999999,s1,4
s1n_5,2,2.9999999999999996,4,s1,5
s1n_6,5,7,10,s1,6
s1n_7,5.999999999999999,8,11.999999999999998,s1,7
s1n_8,5,8,11,s1,8
s1n_9,8,11,15,s1,9
s1n_10,10,15,20,s1,10
s1n_11,11,16,22,s1,11
s1n_12,14,20,27,s1,12
s1n_13,17,25,35,s1,13
s1n_14,21,30,41,s1,14
s1n_15,26,37,49.25,s1,15
s1n_16,32,45,60,s1,16
s1n_17,38,54,74,s1,17
s1n_18,46.75,66,89,s1,18
s1n_19,57,77,106.25000000000001,s1,19
s1n_20,69,95,127,s1,20
s1n_21,81,114,150,s1,21
s1n_22,99.00000000000001,132,174,s1,22
s1n_23,114,158.00000000000003,204.00000000000003,s1,23
s1n_24,137,181.00000000000003,236,s1,24
s1n_25,159,208,266,s1,25
s1n_26,185.99999999999997,240,298,s1,26
s1n_27,212.75,270,325.25,s1,27
s1n_28,244.00000000000003,298.5,352,s1,28
s1n_29,269.75,325,368,s1,29
s1n_30,296,343.5,379.00000000000006,s1,30
s1n_31,318,357,383.99999999999994,s1,31
s1n_32,331,359,385,s1,32
s1n_33,329,357,382,s1,33
s1n_34,323,351,374,s1,34
s1n_35,303,337,364,s1,35
s1n_36,284.75,325,352.25,s1,36
s1n_37,256,303,337,s1,37
s1n_38,221.75,275,318,s1,38
s1n_39,197,245,297.25,s1,39
s1n_40,168,216,269.25,s1,40
s1n_41,145,189,242,s1,41
s1n_42,122.00000000000001,162.99999999999997,213,s1,42
s1n_43,102.00000000000001,138,184.25,s1,43
s1n_44,84,116.5,158.00000000000003,s1,44
s1n_45,70,100,137,s1,45
s1n_46,59,83,116.25,s1,46
s1n_47,47.99999999999999,70,99.00000000000001,s1,47
s1n_48,40,57.99999999999999,83,s1,48
s1n_49,34,47.99999999999999,71.25,s1,49
s1n_50,28,39,59,s1,50
s1n_51,23,34,49,s1,51
s1n_52,18,28,42,s1,52
s1n_53,15,23,34,s1,53
s1n_54,13,19,28.999999999999996,s1,54
s1n_55,10,16,23.999999999999996,s1,55
s1n_56,8,13,20,s1,56
s1n_57,7,11,17,s1,57
s1n_58,5,9,14,s1,58
s1n_59,4,7.5,11.999999999999998,s1,59
s1n_60,2.9999999999999996,5.999999999999999,10,s1,60
s1n_61,2,5,8,s1,61
s1n_62,2,4,7,s1,62
s1n_63,2,2.9999999999999996,5.999999999999999,s1,63
s1n_64,1,2.9999999999999996,5,s1,64
s1n_65,1,2,4,s1,65
s1n_66,1,2,2.9999999999999996,s1,66
s1n_67,0,1,2.9999999999999996,s1,67
s1n_68,0,1,2,s1,68
s1n_69,0,1,2,s1,69
s1n_70,0,1,2,s1,70
s1n_71,0,1,2,s1,71
s1n_72,0,0,1,s1,72
s1n_73,0,0,1,s1,73
s1n_74,0,0,1,s1,74
s1n_75,0,0,1,s1,75
s1n_76,0,0,1,s1,76
s1n_77,0,0,0,s1,77
s1n_78,0,0,0,s1,78
s1n_79,0,0,0,s1,79
s1n_80,0,0,0,s1,80
s1n_81,0,0,0,s1,81
s1n_82,0,0,0,s1,82
s1n_83,0,0,0,s1,83
s1n_84,0,0,0,s1,84
s1n_85,0,0,0,s1,85
s1n_86,0,0,0,s1,86
s1n_87,0,0,0,s1,87
s1n_88,0,0,0,s1,88
s1n_89,0,0,0,s1,89
s1n_90,0,0,0,s1,90
s1n_91,0,0,0,s1,91
s1n_92,0,0,0,s1,92
s1n_93,0,0,0,s1,93
s1n_94,0,0,0,s1,94
s1n_95,0,0,0,s1,95
s1n_96,0,0,0,s1,96
s1n_97,0,0,0,s1,97
s1n_98,0,0,0,s1,98
s1n_99,0,0,0,s1,99
s1n_100,0,0,0,s1,100
s1n_101,0,0,0,s1,101
s1n_102,0,0,0,s1,102
s1n_103,0,0,0,s1,103
s1n_104,0,0,0,s1,104
s1n_105,0,0,0,s1,105
s1n_106,0,0,0,s1,106
s1n_107,0,0,0,s1,107
s1n_108,0,0,0,s1,108
s1n_109,0,0,0,s1,109
s1n_110,0,0,0,s1,110
s1n_111,0,0,0,s1,111
s1n_112,0,0,0,s1,112
s1n_113,0,0,0,s1,113
s1n_114,0,0,0,s1,114
s1n_115,0,0,0,s1,115
s1n_116,0,0,0,s1,116
s1n_117,0,0,0,s1,117
s1n_118,0,0,0,s1,118
s1n_119,0,0,0,s1,119
s1n_120,0,0,0,s1,120
s1n_121,0,0,0,s1,121
s1n_122,0,0,0,s1,122
s1n_123,0,0,0,s1,123
s1n_124,0,0,0,s1,124
s1n_125,0,0,0,s1,125
s1n_126,0,0,0,s1,126
s1n_127,0,0,0,s1,127
s1n_128,0,0,0,s1,128
s1n_129,0,0,0,s1,129
s1n_130,0,0,0,s1,130
s1n_131,0,0,0,s1,131
s1n_132,0,0,0,s1,132
s1n_133,0,0,0,s1,133
s1n_134,0,0,0,s1,134
s1n_135,0,0,0,s1,135
s1n_136,0,0,0,s1,136
s1n_137,0,0,0,s1,137
s1n_138,0,0,0,s1,138
s1n_139,0,0,0,s1,139
s1n_140,0,0,0,s1,140
s1n_141,0,0,0,s1,141
s1n_142,0,0,0,s1,142
s1n_143,0,0,0,s1,143
s1n_144,0,0,0,s1,144
s1n_145,0,0,0,s1,145
s1n_146,0,0,0,s1,146
s1n_147,0,0,0,s1,147
s1n_148,0,0,0,s1,148
s1n_149,0,0,0,s1,149
s1n_150,0,0,0,s1,150
s3n_0,10,10,10,s3,0
s3n_1,0,0,0,s3,1
s3n_2,0,0,0,s3,2
s3n_3,2,2.9999999999999996,5,s3,3
s3n_4,1,2,4,s3,4
s3n_5,0,1,2,s3,5
s3n_6,1,2,4,s3,6
s3n_7,2,2.9999999999999996,5,s3,7
s3n_8,1,2.9999999999999996,4,s3,8
s3n_9,1,2.9999999999999996,5,s3,9
s3n_10,2,2.9999999999999996,5.999999999999999,s3,10
s3n_11,2,4,5.999999999999999,s3,11
s3n_12,2,4,7,s3,12
s3n_13,2,4,7,s3,13
s3n_14,2,5,8,s3,14
s3n_15,2.9999999999999996,5,9,s3,15
s3n_16,2.9999999999999996,5.999999999999999,11,s3,16
s3n_17,2.9999999999999996,7,11,s3,17
s3n_18,2.9999999999999996,7,13,s3,18
s3n_19,4,8,14,s3,19
s3n_20,4,9,16,s3,20
s3n_21,5,10,17.25,s3,21
s3n_22,5,11,19,s3,22
s3n_23,5,11.999999999999998,20,s3,23
s3n_24,5.999999999999999,13.5,23,s3,24
s3n_25,7,14,25,s3,25
s3n_26,8,16,27,s3,26
s3n_27,8,18,30,s3,27
s3n_28,9,19,33,s3,28
s3n_29,10,21,36,s3,29
s3n_30,10,23,39,s3,30
s3n_31,11.999999999999998,25,42,s3,31
s3n_32,13,27,46,s3,32
s3n_33,14,28.999999999999996,50,s3,33
s3n_34,16,32,51.00000000000001,s3,34
s3n_35,17,35,57,s3,35
s3n_36,18,37,59,s3,36
s3n_37,19.750000000000004,39,64,s3,37
s3n_38,22,41,67,s3,38
s3n_39,23,45,71,s3,39
s3n_40,25,47,74,s3,40
s3n_41,27,51.00000000000001,78,s3,41
s3n_42,28.999999999999996,54,80.25000000000001,s3,42
s3n_43,30,57.99999999999999,84,s3,43
s3n_44,34,61.00000000000001,87,s3,44
s3n_45,36,64,91,s3,45
s3n_46,38,66,92.99999999999999,s3,46
s3n_47,41,68,94,s3,47
s3n_48,44.75,71,94,s3,48
s3n_49,44,73,97,s3,49
s3n_50,47,75,95.99999999999999,s3,50
s3n_51,51.00000000000001,77,97,s3,51
s3n_52,52,78,97,s3,52
s3n_53,56,79.00000000000001,97,s3,53
s3n_54,55.75,78,94,s3,54
s3n_55,57.99999999999999,78,92.99999999999999,s3,55
s3n_56,58.75,78,94,s3,56
s3n_57,57.99999999999999,76.5,91,s3,57
s3n_58,59,75,89.25,s3,58
s3n_59,57,74,88.25,s3,59
s3n_60,57,72,87,s3,60
