tag,v25,median,v75,Category,round
s1c_0,0.001,0.001,0.001,s1,0
s1c_1,0.001,0.001,0.001,s1,1
s1c_2,0.001,0.001,0.001,s1,2
s1c_3,0.0015,0.0016,0.0019,s1,3
s1c_4,0.0018,0.0021,0.0024,s1,4
s1c_5,0.0021,0.0024,0.0027,s1,5
s1c_6,0.0027,0.0031,0.0037,s1,6
s1c_7,0.0033,0.004,0.0048,s1,7
s1c_8,0.0039,0.0048,0.0058,s1,8
s1c_9,0.0048,0.0059,0.0073,s1,9
s1c_10,0.0059,0.0075,0.0092,s1,10
s1c_11,0.0072,0.009,0.0114,s1,11
s1c_12,0.0086,0.0111,0.0141,s1,12
s1c_13,0.0104,0.0135,0.0175,s1,13
s1c_14,0.0128,0.0166,0.0216,s1,14
s1c_15,0.015375000000000002,0.0203,0.026625,s1,15
s1c_16,0.018775,0.02475,0.032924999999999996,s1,16
s1c_17,0.0227,0.0301,0.0403,s1,17
s1c_18,0.0276,0.03655,0.049025000000000006,s1,18
s1c_19,0.0334,0.04445,0.05955,s1,19
s1c_20,0.040375,0.0536,0.072325,s1,20
s1c_21,0.04857499999999999,0.06525,0.08705,s1,21
s1c_22,0.0587,0.07835,0.1044,s1,22
s1c_23,0.07094999999999999,0.094,0.1242,s1,23
s1c_24,0.0847,0.1124,0.1485,s1,24
s1c_25,0.101,0.13295,0.175125,s1,25
s1c_26,0.11925,0.15715,0.20465,s1,26
s1c_27,0.140375,0.18395,0.23702499999999999,s1,27
s1c_28,0.1651,0.2151,0.274025,s1,28
s1c_29,0.192275,0.2484,0.310375,s1,29
s1c_30,0.2224,0.283,0.348925,s1,30
s1c_31,0.25325,0.3199,0.3873,s1,31
s1c_32,0.287575,0.3573,0.42457500000000004,s1,32
s1c_33,0.325175,0.39449999999999996,0.4611,s1,33
s1c_34,0.3631,0.43165,0.49685,s1,34
s1c_35,0.39807500000000007,0.4669,0.527675,s1,35
s1c_36,0.4355,0.4995,0.5578,s1,36
s1c_37,0.46924999999999994,0.52995,0.5829,s1,37
s1c_38,0.5011749999999999,0.5573,0.6059749999999999,s1,38
s1c_39,0.5312,0.5823,0.6257750000000001,s1,39
s1c_40,0.5579500000000001,0.60475,0.642625,s1,40
s1c_41,0.58165,0.6234500000000001,0.6574249999999999,s1,41
s1c_42,0.6025,0.64125,0.67035,s1,42
s1c_43,0.620675,0.65455,0.6804250000000001,s1,43
s1c_44,0.63645,0.666,0.6884,s1,44
s1c_45,0.6489750000000001,0.67635,0.6957,s1,45
s1c_46,0.6604,0.68505,0.701725,s1,46
s1c_47,0.6701,0.6919,0.707325,s1,47
s1c_48,0.6784,0.6978,0.7121,s1,48
s1c_49,0.6853750000000001,0.70285,0.7163,s1,49
s1c_50,0.69075,0.7071,0.719425,s1,50
s1c_51,0.6952999999999999,0.7105,0.7220249999999999,s1,51
s1c_52,0.699175,0.7132000000000001,0.7244,s1,52
s1c_53,0.702,0.71545,0.7264,s1,53
s1c_54,0.7047,0.7174,0.7279,s1,54
s1c_55,0.7073,0.719,0.7292249999999999,s1,55
s1c_56,0.7089749999999999,0.7202,0.7301249999999999,s1,56
s1c_57,0.7107,0.72125,0.7312,s1,57
s1c_58,0.7124,0.7223,0.7318,s1,58
s1c_59,0.7134750000000001,0.723,0.7323,s1,59
s1c_60,0.7143,0.7239,0.7329,s1,60
s1c_61,0.714975,0.7244,0.7334,s1,61
s1c_62,0.7156,0.72475,0.733625,s1,62
s1c_63,0.716,0.7252,0.7339499999999999,s1,63
s1c_64,0.716375,0.72565,0.7342,s1,64
s1c_65,0.7167749999999999,0.72595,0.7344250000000001,s1,65
s1c_66,0.7171,0.7262,0.734725,s1,66
s1c_67,0.7172,0.72635,0.7349,s1,67
s1c_68,0.7174,0.7265,0.735,s1,68
